Response ID,Participant #,condition,Block #,"Block total order (cond1 = 1:8, cond2 = 9:16)",Step Presentation Order,Left Top Title,Right Top Title,Left Bottom Title,Right Bottom Title,Stim sentence ENG,"Correct = c, Incorrect = x",RT of stimulus
R_1K0zDGqu01Eq5Rw,37,2,1,9,1,FALSE,TRUTH,None,None,I am at the beach,C,1199
R_1K0zDGqu01Eq5Rw,37,2,1,9,2,FALSE,TRUTH,None,None,My fingers are on the keyboard,X,2579
R_1K0zDGqu01Eq5Rw,37,2,1,9,3,FALSE,TRUTH,None,None,I am buying groceries now  ,X,3379
R_1K0zDGqu01Eq5Rw,37,2,1,9,4,FALSE,TRUTH,None,None,I am watching the computer screen,X,955
R_1K0zDGqu01Eq5Rw,37,2,1,9,5,FALSE,TRUTH,None,None,I am doing an experiment in psychology,X,145
R_1K0zDGqu01Eq5Rw,37,2,1,9,6,FALSE,TRUTH,None,None,I am climbing on a mountain,C,110
R_1K0zDGqu01Eq5Rw,37,2,1,9,7,FALSE,TRUTH,None,None,I am reading what is on the screen,C,49
R_1K0zDGqu01Eq5Rw,37,2,1,9,8,FALSE,TRUTH,None,None,I am infront of a computer right now,X,149
R_1K0zDGqu01Eq5Rw,37,2,1,9,9,FALSE,TRUTH,None,None,I am watching the news,C,140
R_1K0zDGqu01Eq5Rw,37,2,1,9,10,FALSE,TRUTH,None,None,I am playing an electric guitar,X,169
R_1K0zDGqu01Eq5Rw,37,2,1,9,11,FALSE,TRUTH,None,None,My fingers are on the keyboard,C,9
R_1K0zDGqu01Eq5Rw,37,2,1,9,12,FALSE,TRUTH,None,None,I am climbing on a mountain,X,169
R_1K0zDGqu01Eq5Rw,37,2,1,9,13,FALSE,TRUTH,None,None,I am at the beach,X,170
R_1K0zDGqu01Eq5Rw,37,2,1,9,14,FALSE,TRUTH,None,None,I am doing an experiment in psychology,C,139
R_1K0zDGqu01Eq5Rw,37,2,1,9,15,FALSE,TRUTH,None,None,I am playing an electric guitar,C,49
R_1K0zDGqu01Eq5Rw,37,2,1,9,16,FALSE,TRUTH,None,None,I am watching the news,X,179
R_1K0zDGqu01Eq5Rw,37,2,1,9,17,FALSE,TRUTH,None,None,I am reading what is on the screen,C,120
R_1K0zDGqu01Eq5Rw,37,2,1,9,18,FALSE,TRUTH,None,None,I am infront of a computer right now,X,179
R_1K0zDGqu01Eq5Rw,37,2,1,9,19,FALSE,TRUTH,None,None,I am buying groceries now  ,C,60
R_1K0zDGqu01Eq5Rw,37,2,1,9,20,FALSE,TRUTH,None,None,I am watching the computer screen,C,129
R_1K0zDGqu01Eq5Rw,37,2,1,9,INSTRUCTIONS OF CURRENT BLOCK,FALSE,TRUTH,None,None,INSTRUCTIONS OF CURRENT BLOCK,Total block time (time spent on page: =>,14895
R_1K0zDGqu01Eq5Rw,37,2,2,10,1,TYPE 2,TYPE 1,None,None,I am an incurable time waster - 2,C,1709
R_1K0zDGqu01Eq5Rw,37,2,2,10,2,TYPE 2,TYPE 1,None,None,Putting something off until tomorrow is not the way I do it - 1,X,70718
R_1K0zDGqu01Eq5Rw,37,2,2,10,3,TYPE 2,TYPE 1,None,None,I get stuck in neutral even though I know how important it I to get started - 2,C,1730
R_1K0zDGqu01Eq5Rw,37,2,2,10,4,TYPE 2,TYPE 1,None,None,I needlessly delay finishing jobs; even when they’re important - 2,C,1829
R_1K0zDGqu01Eq5Rw,37,2,2,10,5,TYPE 2,TYPE 1,None,None,I always finish important jobs with time to spare - 1,C,1520
R_1K0zDGqu01Eq5Rw,37,2,2,10,6,TYPE 2,TYPE 1,None,None,I promise myself I'll do something and then drag my feet - 2,C,1169
R_1K0zDGqu01Eq5Rw,37,2,2,10,7,TYPE 2,TYPE 1,None,None,I put the necessary time into even boring tasks - 1,C,1939
R_1K0zDGqu01Eq5Rw,37,2,2,10,8,TYPE 2,TYPE 1,None,None,I get right to work; even on life's unpleasant chores  - 1,C,1710
