Participant,Response ID,Start Date,DATE_published,DIFF_time,AGE,GENDER,HebrewNativeLanguage,TPS1,TPS2,TPS3,TPS4,TPS5,TPS6,TPS7,TPS8,TPS9,TPS10,E1,A7,C1,N3,I1,E6,A1,C7,N1,I8,E2,A8,C2,N4,I2,E7,A2,C8,N2,I9,E3,A9,C3,N5,I3,E8,A3,C9,N6,I10,E4,A10,C4,N7,I4,E9,A4,C10,N8,I5,E5,A5,C5,N9,I6,E10,A6,C6,N10,I7
3,R_1InGZPjeLeAnPLd,3/14/2019 14:49,3/14/2019 13:54,0.04,24,F,Y,4,4,1,4,2,4,3,4,3,3,1,4,1,2,4,3,2,5,2,4,3,4,3,3,3,3,3,5,4,4,3,3,4,3,3,4,2,5,4,4,2,4,5,4,4,3,3,5,5,4,3,2,4,5,3,3,3,4,5,3
4,R_2YQi2j2Dt48dytv,3/14/2019 16:42,3/14/2019 13:54,0.12,23,F,Y,2,3,1,2,1,3,2,4,2,3,4,4,2,3,4,3,4,4,4,4,4,4,3,3,3,2,4,4,4,3,3,4,3,4,3,4,4,4,4,3,4,4,4,4,4,2,4,4,4,3,2,4,3,2,4,2,4,3,4,2
5,R_24PqEKwgKYEYgKy,3/15/2019 14:08,3/14/2019 13:54,1.01,23,F,Y,4,4,4,4,3,3,4,4,3,4,2,4,3,3,5,4,5,4,4,5,4,5,3,3,3,4,4,5,4,5,3,4,5,3,4,4,4,4,5,4,3,5,3,4,5,2,4,5,4,5,3,5,5,5,4,2,5,4,5,4
7,R_2qr7fpthnKxU1jb,3/18/2019 14:11,3/14/2019 13:54,4.01,23,F,Y,3,3,4,4,3,4,4,4,3,3,3,4,4,2,5,3,5,4,3,4,3,5,5,2,5,4,4,5,3,5,4,4,4,2,4,4,5,4,2,5,4,5,4,2,5,3,5,4,2,4,2,5,5,2,5,2,4,4,3,5
8,R_xFKFtCQ86a83BO9,3/18/2019 14:39,3/14/2019 13:54,4.03,23,F,Y,2,3,2,3,3,3,3,3,2,3,3,5,2,3,5,4,4,2,4,4,4,5,4,2,5,3,4,2,2,4,4,4,3,2,4,4,4,2,4,4,3,4,2,3,4,3,4,5,4,4,4,4,4,4,4,4,4,4,4,3
9,R_3Pot2U2g8v0AwST,3/18/2019 14:39,3/14/2019 13:54,4.03,25,F,N,3,3,2,3,3,3,2,3,2,2,4,3,2,3,3,4,4,2,4,4,3,4,4,3,4,4,4,2,3,4,3,4,4,3,4,4,4,3,4,4,2,4,3,3,5,3,2,3,4,3,3,4,4,4,2,3,3,4,4,4
12,R_tSWG8n77ZMJ87ZL,3/19/2019 12:59,3/14/2019 13:54,4.96,25,F,Y,3,3,2,2,2,3,2,3,2,2,3,3,2,4,3,4,4,1,4,3,3,4,2,5,5,4,4,1,3,5,4,3,2,4,4,5,4,1,4,5,3,4,2,3,4,4,4,4,4,3,3,4,4,4,3,3,3,2,4,4
13,R_SSFc8WoBe5wnez7,3/19/2019 20:17,3/14/2019 13:54,5.27,24,F,Y,4,4,3,3,3,4,3,3,4,3,4,4,3,2,5,5,4,5,3,5,4,5,4,2,5,4,4,5,2,4,4,4,4,3,4,5,5,5,4,5,5,4,5,3,4,4,4,4,4,4,4,4,4,3,5,4,4,5,4,5
14,R_1CBLb30thDthltN,3/19/2019 21:13,3/14/2019 13:54,5.31,23,F,Y,1,3,4,2,1,3,2,3,2,2,3,5,3,2,2,4,5,2,2,4,3,5,4,2,3,4,5,1,1,5,5,5,1,2,4,5,5,1,1,3,4,5,4,1,4,3,4,2,1,3,2,5,3,4,5,2,5,4,1,4
15,R_3fjAkmb0W0PRcEt,3/20/2019 10:02,3/14/2019 13:54,5.84,23,F,Y,3,3,2,2,2,3,4,2,2,3,4,4,4,4,5,5,5,1,2,4,5,4,4,2,5,4,4,2,4,5,4,5,3,4,4,5,5,1,3,5,4,5,3,4,4,4,5,4,3,4,4,4,4,4,4,4,4,3,4,4
17,R_r6apoBjY5UB1uP7,3/21/2019 0:29,3/14/2019 13:54,6.44,41,F,Y,2,2,2,2,2,2,3,3,2,2,4,4,4,3,4,3,4,2,2,2,3,5,4,2,4,4,4,2,2,4,4,4,2,2,4,4,5,2,2,4,4,4,3,2,4,3,4,3,2,4,3,4,3,3,3,3,4,4,3,4
18,R_3gTuZiwkfnaScgB,3/21/2019 13:57,3/14/2019 13:54,7.00,30,F,Y,2,2,1,2,1,3,3,4,2,2,5,4,2,2,4,5,4,2,1,5,5,3,4,2,5,5,4,2,3,3,4,4,2,2,5,5,4,2,2,5,4,4,2,3,5,5,5,1,1,5,5,5,2,2,4,5,5,3,3,5
19,R_3iPiAVwudk44df5,3/21/2019 13:52,3/14/2019 13:54,7.00,24,F,Y,4,4,4,4,4,4,4,2,3,4,4,4,4,2,3,5,4,3,2,5,5,5,5,2,4,4,4,3,3,4,5,5,5,2,3,5,5,4,4,4,4,5,3,4,5,4,5,4,4,3,4,4,5,4,4,4,4,4,4,4
20,R_0pkZ2hTXweN1b1L,3/21/2019 18:32,3/14/2019 13:54,7.19,23,F,Y,1,1,1,2,2,3,3,3,1,2,3,4,2,2,5,4,5,5,4,5,4,5,4,3,5,3,5,4,3,5,2,5,1,3,5,5,5,5,5,5,3,5,4,1,5,4,4,3,2,4,3,5,3,5,5,2,3,3,5,5
22,R_BWdAsdW3bDrG4Y9,3/14/2019 16:40,3/14/2019 13:54,0.12,23,F,Y,2,2,1,2,2,2,2,2,2,2,2,4,2,2,4,4,4,4,4,5,4,4,4,2,3,4,4,4,3,4,2,4,2,3,3,5,4,4,4,4,2,4,3,4,4,2,4,4,5,3,4,4,4,4,2,2,4,4,4,3
23,R_2RQA7kGEEllG5BU,3/23/2019 13:57,3/14/2019 13:54,9.00,24,F,Y,3,2,2,3,2,3,3,3,2,3,2,4,3,4,4,2,4,5,4,4,3,5,4,4,4,3,4,5,3,3,2,4,3,4,3,3,4,5,4,4,2,4,5,2,4,2,4,4,3,3,2,4,4,4,4,2,4,4,4,3
